PLAYER,NATION,POS,SQUAD,COMP,AGE,BORN,NINETIES_PLAYED,TOUCHES,TOUCHES_DEF_PEN,TOUCHES_DEF_3RD,TOUCHES_MID_3RD,TOUCHES_ATT_3RD,TOUCHES_ATT_PEN,LIVE_TOUCHES,TAKE_ONS_ATT,TAKE_ONS_SUCC,TAKE_ONS_SUCC_PCT,TAKE_ONS_TKLD,TAKE_ONS_TKLD_PCT,CARRIES,TOT_DIST,PRG_DIST,PRG_CARRIES,CARRIES_FINAL_THIRD,CARRIES_PEN_AREA,MISCONTROL,DISSPOSSESSED,PASSES_RECEIVED,PRG_PASSES_RECEIVED
Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,26,1997,15.7,1330,175,630,674,27,14,1330,6,4,66.7,1,16.7,777,3207,1809,5,2,0,4,0,1000,1
Martin Adeline,FRA,MF,Reims,Ligue 1,20,2003,0.3,14,2,8,4,2,1,14,0,0,,0,,6,35,9,1,0,1,0,0,9,1
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,22,2002,15.9,636,9,51,231,365,88,636,94,40,42.6,49,52.1,417,3230,1543,68,36,41,43,31,465,153
Simon Adingra,CIV,"FW,MF",Brighton,Premier League,22,2002,12.2,548,10,66,174,315,76,548,50,21,42.0,27,54.0,366,2514,1300,50,21,27,39,12,388,136
Amine Adli,MAR,"MF,FW",Leverkusen,Bundesliga,24,2000,8.5,468,4,40,152,286,53,468,32,15,46.9,16,50.0,248,1501,838,37,25,11,20,6,350,100
Yacine Adli,FRA,MF,Fiorentina,Serie A,24,2000,13.7,1021,31,177,607,248,11,1021,32,12,37.5,16,50.0,618,3613,1680,24,28,3,19,8,690,30
Adrián,ESP,GK,Betis,La Liga,37,1987,19.0,658,568,657,1,0,0,658,0,0,,0,,390,1788,1161,0,0,0,1,0,299,0
Adryelson,BRA,DF,Lyon,Ligue 1,26,1998,0.0,5,1,2,3,0,0,5,0,0,,0,,1,0,0,0,0,0,0,0,1,0
Vasilije Adžić,MNE,"MF,FW",Juventus,Serie A,18,2006,0.5,24,0,5,8,11,2,24,1,0,0.0,1,100.0,14,40,10,0,1,0,1,1,20,3
Michel Aebischer,SUI,MF,Bologna,Serie A,27,1997,8.0,485,11,74,302,114,10,485,6,3,50.0,2,33.3,291,1201,508,8,12,2,5,7,346,17
Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,26,1998,18.2,741,13,84,304,365,62,741,98,48,49.0,43,43.9,495,3452,1392,53,43,28,63,45,555,108
Emmanuel Agbadou,CIV,DF,Wolves,Premier League,27,1997,15.7,1172,190,649,504,28,7,1172,13,10,76.9,2,15.4,758,3670,1752,6,4,0,6,4,796,2
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,27,1997,14.0,1080,178,565,474,45,4,1080,12,9,75.0,3,25.0,621,3413,1974,10,9,0,9,6,701,0
Asher Agbinone,ENG,MF,Crystal Palace,Premier League,18,2005,0.1,8,0,0,2,6,0,8,2,0,0.0,1,50.0,5,53,23,2,0,0,0,1,5,1
Jeremy Agbonifo,SWE,"FW,MF",Lens,Ligue 1,18,2005,3.3,131,1,22,39,72,16,131,20,9,45.0,10,50.0,84,627,283,13,2,10,11,6,92,36
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,23,2000,13.4,437,357,436,1,0,0,437,0,0,,0,,237,1238,682,0,0,0,1,0,211,0
Lucien Agoume,FRA,MF,Sevilla,La Liga,22,2002,23.5,1481,65,386,867,248,19,1481,30,22,73.3,7,23.3,689,3227,1597,29,23,2,26,13,928,23
Felix Agu,NGA,DF,Werder Bremen,Bundesliga,24,1999,19.5,1045,48,315,465,270,37,1045,35,9,25.7,19,54.3,545,2589,1278,33,12,8,33,12,605,105
Álvaro Aguado,ESP,MF,Espanyol,La Liga,28,1996,4.9,303,7,68,161,78,6,303,8,5,62.5,2,25.0,175,1443,753,15,10,4,9,4,189,4
Lorenzo Aguado,ESP,DF,Real Madrid,La Liga,21,2002,0.1,3,0,3,0,0,0,3,0,0,,0,,1,2,0,0,0,0,0,1,1,0
Nayef Aguerd,MAR,DF,Real Sociedad,La Liga,28,1996,19.6,1594,132,729,815,53,16,1594,10,5,50.0,2,20.0,1019,6113,3798,26,18,0,7,3,1138,1
Ruben Aguilar,FRA,"DF,MF",Lens,Ligue 1,31,1993,12.5,996,27,253,430,320,30,996,21,9,42.9,9,42.9,518,2371,1309,32,21,5,19,6,612,101
Naouirou Ahamada,FRA,"MF,FW",Rennes,Ligue 1,22,2002,0.6,31,1,12,16,3,0,31,1,0,0.0,1,100.0,16,131,55,2,1,0,1,1,17,1
Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Honest Ahanor,ITA,"DF,MF",Genoa,Serie A,16,2008,3.0,106,8,27,43,38,7,106,1,0,0.0,0,0.0,52,282,119,3,1,0,7,2,50,7
Erik Ahlstrand,SWE,"FW,MF",St. Pauli,Bundesliga,22,2001,0.5,22,0,2,10,10,2,22,0,0,,0,,12,68,26,1,2,0,3,0,14,3
Jean-Eudes Aholou,CIV,MF,Angers,Ligue 1,30,1994,21.8,1032,45,259,615,167,34,1032,28,12,42.9,12,42.9,495,2116,987,15,8,2,32,15,615,16
Joseph Aidoo,GHA,DF,Valladolid,La Liga,28,1995,6.5,431,61,265,168,2,1,431,1,1,100.0,0,0.0,259,1248,678,1,0,0,0,1,320,0
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,28,1995,0.0,8,0,4,4,0,0,8,0,0,,0,,7,9,8,0,0,0,0,1,6,0
Ayman Aiki,FRA,"FW,MF",Saint-Étienne,Ligue 1,19,2005,1.4,48,1,10,20,19,2,48,4,0,0.0,4,100.0,33,169,95,4,2,1,5,7,37,8
Ola Aina,NGA,DF,Nott'ham Forest,Premier League,27,1996,33.3,1708,156,613,717,409,22,1708,72,33,45.8,27,37.5,749,4798,2787,67,46,10,44,22,822,67
Rayan Aït-Nouri,ALG,DF,Wolves,Premier League,23,2001,34.5,2148,96,577,916,685,96,2148,137,63,46.0,56,40.9,1129,6166,3205,89,62,28,52,47,1321,176
Junior Ajayi,CIV,FW,Hellas Verona,Serie A,19,2004,0.1,5,0,0,3,2,0,5,0,0,,0,,5,25,7,0,0,0,1,0,5,0
Kristoffer Ajer,NOR,DF,Brentford,Premier League,26,1998,16.0,795,53,265,368,168,38,795,16,7,43.8,8,50.0,387,2098,1180,27,11,2,15,12,491,44
Ludovic Ajorque,FRA,FW,Brest,Ligue 1,30,1994,27.7,914,32,84,446,389,125,913,17,8,47.1,9,52.9,410,1319,449,10,11,4,60,11,658,124
Manuel Akanji,SUI,DF,Manchester City,Premier League,29,1995,22.4,1881,119,559,920,405,19,1881,2,2,100.0,0,0.0,1254,6953,4234,46,64,0,5,5,1483,7
Ümit Akdag,ROU,DF,Toulouse,Ligue 1,20,2003,5.6,400,29,145,232,27,1,400,1,1,100.0,0,0.0,217,947,452,4,3,0,1,0,240,9
Nathan Aké,NED,DF,Manchester City,Premier League,29,1995,7.5,596,51,205,331,61,5,596,1,1,100.0,0,0.0,403,2244,1501,12,12,1,4,3,449,2
Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,20,2004,6.5,293,8,44,89,163,29,293,43,19,44.2,17,39.5,200,1310,759,30,18,20,15,10,209,64
Sergio Akieme,ESP,DF,Reims,Ligue 1,26,1997,28.0,1436,100,524,548,377,34,1436,31,13,41.9,17,54.8,710,4339,2357,55,36,5,31,19,817,97
Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,22,2002,26.7,1566,22,150,644,794,156,1565,103,50,48.5,50,48.5,999,6581,3653,127,98,47,78,47,1149,226
Paul Akouokou,CIV,MF,Lyon,Ligue 1,26,1997,0.2,18,2,5,13,0,0,18,0,0,,0,,14,38,10,0,0,0,1,0,14,0
Clément Akpa,CIV,DF,Auxerre,Ligue 1,22,2001,27.6,1532,171,797,636,117,10,1532,23,8,34.8,11,47.8,895,4510,2340,27,20,1,9,4,929,24
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,Serie A,31,1992,10.7,505,29,157,258,99,7,505,38,12,31.6,19,50.0,306,1832,818,21,15,2,24,2,290,22
David Akpan Ankeye,NGA,"FW,MF",Genoa,Serie A,22,2002,0.5,9,1,2,3,4,0,9,1,1,100.0,0,0.0,6,54,8,0,1,0,0,2,10,3
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,29,1995,24.7,1692,227,759,830,115,5,1692,15,8,53.3,6,40.0,892,3929,1772,14,15,0,11,9,1025,16
Chuba Akpom,ENG,FW,Lille,Ligue 1,28,1995,7.1,165,4,13,76,79,30,163,9,4,44.4,4,44.4,80,422,192,6,4,2,12,5,113,38
David Alaba,AUT,DF,Real Madrid,La Liga,32,1992,3.5,247,36,137,100,11,2,247,0,0,,0,,180,934,482,2,1,0,1,0,199,4
Ibrahim Alani,NGA,MF,Valladolid,La Liga,18,2006,1.8,113,8,36,74,4,0,113,1,1,100.0,0,0.0,54,305,130,2,0,0,1,2,65,1
Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Andreas Albers,DEN,FW,St. Pauli,Bundesliga,34,1990,0.7,44,0,2,17,26,8,44,3,2,66.7,0,0.0,24,129,18,1,0,0,4,6,40,6
Raúl Albiol,ESP,DF,Villarreal,La Liga,38,1985,13.2,915,157,533,369,14,3,915,0,0,,0,,514,2346,1226,3,1,0,3,1,652,0
Carlos Alcaraz,ARG,MF,Southampton,Premier League,21,2002,0.1,17,0,1,8,9,2,17,2,0,0.0,2,100.0,12,112,98,4,1,0,0,0,12,1
Carlos Alcaraz,ARG,"FW,MF",Everton,Premier League,21,2002,8.5,378,15,63,168,156,19,378,18,9,50.0,7,38.9,211,1331,707,19,21,2,14,13,247,21
Omar Alderete,PAR,DF,Getafe,La Liga,27,1996,33.0,1585,192,681,796,122,39,1585,28,18,64.3,10,35.7,633,4014,2546,25,20,2,30,9,658,7
Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,26,1998,5.0,163,5,26,84,56,10,163,4,3,75.0,1,25.0,88,427,169,3,2,1,3,6,98,10
Carles Aleñá,ESP,"MF,FW",Alavés,La Liga,26,1998,12.1,590,2,63,290,243,22,590,24,12,50.0,5,20.8,330,1428,671,18,25,2,23,14,409,43
Ben Alexander Voll,GER,GK,St. Pauli,Bundesliga,23,2000,1.0,52,46,52,0,0,0,52,0,0,,0,,33,185,120,0,0,0,0,0,23,0
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,25,1998,26.3,2252,88,593,1013,660,44,2252,37,17,45.9,17,45.9,1183,5353,2860,51,36,9,19,15,1436,94
Alfon,ESP,"FW,MF",Celta Vigo,La Liga,25,1999,15.2,551,2,44,139,374,114,551,63,25,39.7,31,49.2,374,2856,1693,89,39,47,29,20,428,170
Mohamed Ali Cho,FRA,"FW,MF",Nice,Ligue 1,20,2004,18.0,720,9,75,308,356,74,720,70,20,28.6,41,58.6,460,3302,1943,81,39,30,68,26,545,133
Faride Alidou,GER,"FW,MF",Hellas Verona,Serie A,23,2001,0.8,31,2,5,11,17,0,31,4,2,50.0,2,50.0,17,98,44,1,3,0,1,1,19,2
Alisson,BRA,GK,Liverpool,Premier League,31,1992,27.9,1011,742,991,20,0,0,1011,1,1,100.0,0,0.0,658,2625,1586,0,0,0,1,0,618,0
Tadeo Allende,ARG,FW,Celta Vigo,La Liga,25,1999,0.0,4,1,1,3,0,0,4,1,0,0.0,1,100.0,3,13,4,0,0,0,0,0,3,0
Jim Allevinah,GAB,FW,Angers,Ligue 1,29,1995,19.4,682,11,134,311,253,65,682,48,15,31.3,33,68.8,435,3164,1395,57,34,8,38,32,483,99
Dele Alli,ENG,MF,Como,Serie A,28,1996,0.1,4,0,0,2,2,0,4,0,0,,0,,3,7,4,0,0,0,1,0,4,1
Thiago Almada,ARG,"MF,FW",Lyon,Ligue 1,23,2001,10.6,831,19,136,382,318,31,831,14,8,57.1,5,35.7,568,2957,1483,38,34,10,17,9,652,50
Domingos André Ribeiro Almeida,POR,"MF,FW",Valencia,La Liga,24,2000,22.0,1162,15,150,596,428,43,1162,54,22,40.7,22,40.7,676,3596,1810,45,48,11,37,38,836,77
Iker Almena,ESP,"FW,DF",Girona,La Liga,20,2004,0.5,39,2,4,6,30,1,39,3,2,66.7,1,33.3,32,233,152,6,3,1,1,0,31,10
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,30,1994,1.7,81,1,10,35,36,9,81,2,1,50.0,1,50.0,54,284,93,3,3,2,0,2,59,18
Pontus Almqvist,SWE,"FW,MF",Parma,Serie A,25,1999,12.4,462,11,67,154,253,53,462,50,20,40.0,28,56.0,298,2165,1059,42,18,22,31,13,320,85
Marcos Alonso,ESP,DF,Celta Vigo,La Liga,33,1990,29.4,2683,211,1022,1399,298,35,2680,25,16,64.0,8,32.0,1733,10524,6481,64,48,2,20,9,1901,49
Giorgio Altare,ITA,DF,Venezia,Serie A,25,1998,8.4,505,60,235,216,57,6,505,6,5,83.3,1,16.7,235,990,404,4,10,0,5,5,252,5
Adrià Altimira,ESP,"DF,FW",Leganés,La Liga,23,2001,18.1,826,57,248,380,209,8,826,31,10,32.3,12,38.7,370,1917,1049,23,23,4,28,7,432,69
Sergi Altimira,ESP,MF,Betis,La Liga,22,2001,21.9,1521,53,321,940,272,18,1521,24,16,66.7,7,29.2,908,3871,1635,25,14,1,27,21,1064,30
Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Olabade Aluko,,DF,Leicester City,Premier League,,,0.0,6,0,0,6,1,0,6,1,0,0.0,1,100.0,2,1,0,0,0,0,0,1,2,0
Edson Álvarez,MEX,MF,West Ham,Premier League,26,1997,19.7,1239,67,361,693,194,12,1239,33,14,42.4,14,42.4,687,3783,1714,24,22,2,27,15,830,18
Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,21,2003,17.5,1214,26,262,471,489,82,1214,72,32,44.4,38,52.8,726,3910,2266,74,38,41,33,12,817,171
Julián Álvarez,ARG,FW,Atlético Madrid,La Liga,24,2000,27.9,1238,9,105,501,649,116,1234,65,34,52.3,28,43.1,776,4621,2198,79,51,29,62,40,892,162
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,29,1995,19.8,1425,100,554,825,55,14,1425,9,6,66.7,3,33.3,792,4934,3165,19,8,0,11,7,903,0
Skelly Alvero,FRA,MF,Werder Bremen,Bundesliga,22,2002,2.6,136,15,49,68,19,2,136,3,2,66.7,1,33.3,70,306,132,1,1,0,6,4,74,0
Will Alves,ENG,FW,Leicester City,Premier League,19,2005,0.0,1,0,0,0,1,0,1,0,0,,0,,1,5,5,0,0,0,0,0,1,1
Selim Amallah,MAR,MF,Valladolid,La Liga,27,1996,15.3,607,7,101,334,184,18,606,68,33,48.5,27,39.7,308,1860,836,24,17,6,35,25,353,27
Harry Amass,ENG,DF,Manchester Utd,Premier League,17,2007,3.8,250,13,82,88,84,5,250,8,3,37.5,4,50.0,132,705,376,9,6,2,18,5,124,23
Amath,SEN,"FW,DF",Valladolid,La Liga,28,1996,4.2,166,4,24,71,73,12,166,16,7,43.8,9,56.3,103,616,318,10,9,4,10,4,119,29
Jordan Amavi,FRA,DF,Brest,Ligue 1,30,1994,8.8,615,20,186,304,131,4,615,13,7,53.8,6,46.2,309,1558,936,22,18,1,9,5,361,21
Aurele Amenda,SUI,DF,Eint Frankfurt,Bundesliga,21,2003,1.1,89,13,42,42,6,1,89,1,1,100.0,0,0.0,46,186,72,1,0,0,1,0,52,1
Kelvin Amian,FRA,DF,Nantes,Ligue 1,26,1998,24.1,1153,81,374,523,267,21,1153,22,13,59.1,8,36.4,544,2412,1208,32,27,1,20,12,637,77
Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,28,1996,27.1,2135,83,601,1205,339,33,2135,27,14,51.9,13,48.1,1169,4743,2430,43,33,8,28,10,1458,100
Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,27,1996,27.5,2093,45,360,1159,604,49,2091,67,32,47.8,31,46.3,1134,5414,2578,50,43,14,42,27,1307,64
Samuel Amo-Ameyaw,ENG,"FW,DF",Southampton,Premier League,18,2006,0.3,16,0,5,5,7,1,16,4,0,0.0,3,75.0,11,98,68,1,0,1,0,2,11,3
Samuel Amo-Ameyaw,ENG,"DF,MF",Strasbourg,Ligue 1,18,2006,3.6,165,2,29,72,68,10,165,12,5,41.7,4,33.3,94,698,300,11,10,4,7,2,113,18
Mathis Amougou,FRA,MF,Chelsea,Premier League,18,2006,0.1,9,1,2,4,3,0,9,0,0,,0,,7,25,5,0,1,0,0,1,6,0
Mathis Amougou,FRA,MF,Saint-Étienne,Ligue 1,18,2006,9.5,407,18,104,218,90,9,407,16,5,31.3,9,56.3,242,1169,585,8,11,2,22,8,273,17
Mohamed Amoura,ALG,FW,Wolfsburg,Bundesliga,24,2000,27.4,1106,17,119,385,629,127,1104,91,37,40.7,48,52.7,628,4108,2067,81,46,35,86,18,733,244
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,27,1996,2.0,140,6,24,103,14,0,140,0,0,,0,,84,388,196,2,0,0,1,2,103,1
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,28,1996,1.0,93,14,38,50,5,0,93,0,0,,0,,49,189,103,1,1,0,0,1,67,1
Joachim Andersen,DEN,DF,Fulham,Premier League,28,1996,28.7,2336,340,1233,1013,102,22,2336,6,4,66.7,0,0.0,1350,6505,3435,16,14,1,6,3,1621,2
Elliot Anderson,ENG,MF,Nott'ham Forest,Premier League,21,2002,30.3,1831,102,424,890,547,72,1831,75,36,48.0,30,40.0,932,5071,2366,52,32,21,60,49,1088,94
André,BRA,MF,Wolves,Premier League,23,2001,27.5,1623,89,439,1046,155,3,1623,32,16,50.0,12,37.5,912,3764,1688,10,17,0,30,21,1093,11
Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Benjamin André,FRA,MF,Lille,Ligue 1,33,1990,29.9,2267,72,392,1462,430,45,2267,22,9,40.9,11,50.0,1153,5343,2593,29,33,1,45,33,1556,72
Marcos André,BRA,FW,Valladolid,La Liga,27,1996,13.2,372,13,46,208,128,32,372,41,17,41.5,18,43.9,195,1010,345,11,9,5,40,23,255,39
Robert Andrich,GER,"MF,DF",Leverkusen,Bundesliga,29,1994,17.8,1114,45,252,646,220,20,1114,5,2,40.0,1,20.0,526,2140,886,8,14,1,7,1,792,17
Angeliño,ESP,DF,Roma,Serie A,27,1997,35.3,2266,102,640,1041,602,47,2266,27,11,40.7,11,40.7,1202,5724,3048,66,52,11,27,9,1476,172
Lorenzo Anghelè,ITA,FW,Juventus,Serie A,19,2005,0.1,5,0,0,5,1,0,5,1,1,100.0,0,0.0,3,19,3,0,1,0,0,0,4,0
Faustino Anjorin,ENG,MF,Empoli,Serie A,22,2001,12.4,628,25,132,357,153,17,628,41,16,39.0,22,53.7,327,1839,1043,28,17,6,25,11,385,35
Waldemar Anton,GER,DF,Dortmund,Bundesliga,28,1996,21.7,2126,189,793,1162,179,32,2126,24,20,83.3,2,8.3,1386,6989,3497,32,28,0,21,9,1542,28
Leandro Antonetti,PUR,FW,Sevilla,La Liga,21,2003,0.3,12,0,2,4,7,0,12,1,0,0.0,1,100.0,5,52,43,1,1,0,2,1,8,3
Kyllian Antonio,FRA,"DF,MF",Lens,Ligue 1,16,2008,1.5,114,2,47,54,13,1,114,2,1,50.0,0,0.0,82,322,132,1,0,1,2,2,85,0
Michail Antonio,JAM,FW,West Ham,Premier League,34,1990,9.3,296,3,26,124,151,36,296,27,9,33.3,13,48.1,173,1177,695,29,13,9,35,19,221,59
Antoniu,ESP,"FW,MF",Espanyol,La Liga,21,2002,11.4,369,10,74,150,158,20,369,54,29,53.7,17,31.5,215,1556,966,35,23,5,27,12,225,63
Antony,BRA,"DF,MF",Manchester Utd,Premier League,24,2000,1.6,101,2,22,26,54,8,101,11,4,36.4,6,54.5,60,317,182,5,6,1,5,1,69,7
Antony,BRA,FW,Betis,La Liga,24,2000,15.1,982,9,100,315,585,63,982,63,24,38.1,33,52.4,663,4570,2729,94,77,30,53,20,751,157
Anuar,MAR,"MF,FW",Valladolid,La Liga,29,1995,19.1,705,31,214,324,173,28,705,24,7,29.2,12,50.0,359,2145,834,24,15,6,25,14,430,68
Dennis Appiah,FRA,DF,Saint-Étienne,Ligue 1,32,1992,23.6,1486,92,514,610,371,27,1486,43,20,46.5,22,51.2,630,3033,1650,51,32,6,34,18,824,110
Aritz Arambarri,ESP,DF,Leganés,La Liga,26,1998,2.0,86,12,59,26,1,1,86,0,0,,0,,44,253,137,0,0,0,1,0,48,0
Mauro Arambarri,URU,MF,Getafe,La Liga,28,1995,29.6,1146,45,203,693,264,72,1143,34,18,52.9,12,35.3,534,2364,863,17,8,3,60,29,622,55
